start_lat,start_lon,dest_lat,dest_lon,distance_km,geodesic_distance_km,traffic_level,weather_condition,time_of_day,actual_eta
34.11236203565421,-118.44446012134841,34.07851170512077,-118.29818910173734,19.21692255598374,14.010600670968604,2,1,20,78.71901216094832
34.28521429192297,-118.3374297157865,34.074093639721596,-118.26099558084259,35.25624707844091,24.455827393145796,2,1,4,115.45015821625225
34.21959818254342,-118.23811624923708,34.27187637415631,-118.42485963036225,25.92416184747177,18.153561213468315,2,0,9,86.28820762761316
34.17959754525911,-118.28033253407713,34.07486385995485,-118.3125377701179,14.943304431211187,11.991385424193567,1,1,5,55.80337133105498
34.04680559213273,-118.25803165564157,34.08158491783859,-118.32847620505687,9.412123234918164,7.561305808481232,2,0,23,40.37889408339817
34.04679835610086,-118.30236498998678,34.22781947872539,-118.25015088696352,26.44033472272203,20.649214741970788,0,2,18,86.3105608496191
34.01742508365046,-118.29231703064464,34.13492195273516,-118.22817388185562,18.728539439792986,14.314926644627283,2,1,12,67.72541946065648
34.259852843732475,-118.24524130453041,34.233013167086554,-118.49635296855678,30.84485493136286,23.322494965843237,0,0,0,76.59094743091698
34.180334503522964,-118.42509959734224,34.019609847269315,-118.29779402428237,29.974216097894487,21.35053808614953,2,1,19,98.00150696025429
34.21242177333881,-118.35317251090706,34.14627135810201,-118.48444926026409,17.224441241637393,14.153149378872302,2,1,14,66.13862274214581
34.00617534828874,-118.43363716745412,34.01008408005499,-118.33534240047679,11.003061821962628,9.090420816900144,0,0,13,36.50390978333755
34.2909729556486,-118.203699597601,34.01879596103661,-118.4137101812869,47.25981032367774,35.86883175811559,2,1,7,149.4439997924937
34.249732792240124,-118.21678219809402,34.27193123600332,-118.40796702014336,25.054304089994655,17.779739528012087,2,1,9,88.37538039543678
34.06370173320348,-118.48817195658945,34.04177361133528,-118.3941124489643,11.345541168223518,9.018493780825064,2,1,8,58.72402764883601
34.05454749016213,-118.2883274482453,34.15972620468256,-118.31361226528512,16.5671810493962,11.897852744585517,1,1,16,56.31660959553599
34.05502135295603,-118.2224255047753,34.12332868078021,-118.39978501029937,23.05012528712939,18.036819437097858,0,2,8,72.17893038875596
34.09127267288786,-118.4458273964618,34.10420299787765,-118.28019028482292,22.503279830086576,15.3519465470841,2,1,2,85.46634281731102
34.15742692948967,-118.32961643083421,34.26995000370618,-118.37864178432784,19.495950974877466,13.274227736929662,0,1,10,53.65184759833428
34.129583505592635,-118.2253535107236,34.006547019032645,-118.47949403990701,34.989663379406934,27.140892781960385,0,0,11,84.04790571083186
34.08736874205941,-118.48981620642427,34.199136905852676,-118.26487204725477,30.669951937445475,24.168634534987707,0,2,9,96.79453893595621
34.18355586841671,-118.29077391982595,34.289018330264064,-118.41427250262218,21.59639889844277,16.318983408079173,2,0,16,77.06156208209747
34.04184815819561,-118.41079529778824,34.16805045503855,-118.37016993612022,18.43625282893543,14.492092527083653,2,0,16,54.81757768087499
34.087643394560565,-118.22268114138704,34.28104673860992,-118.29436683503343,31.4658822014043,22.44812873310263,0,0,10,75.3240258533527
34.10990855298811,-118.20868252645039,34.015677363785805,-118.40026315285539,29.743854015243507,20.54389788190161,1,2,21,94.4532725396368
34.13682099526511,-118.21672005326597,34.12563799572225,-118.48302430315599,34.48161280039038,24.59585775644069,0,0,3,83.09834155691397
